abduction	0.19947	0.56539	0.2959
able	0.72523	0.40291	0.73712
abortion	0.29723	0.5469	0.44122
absent	0.32232	0.45971	0.40951
absurd	0.39762	0.41083	0.45971
abundance	0.70542	0.56275	0.60106
abuse	0.07266	0.73712	0.32232
accept	0.73316	0.56539	0.54954
acceptance	0.88904	0.54822	0.71202
access	0.64597	0.50462	0.6605
accident	0.10568	0.66182	0.33157
accord	0.56539	0.39498	0.53633
accost	0.40026	0.52708	0.41347
accuse	0.17041	0.70277	0.37252
ace	0.74373	0.56143	0.679
ache	0.15984	0.49538	0.30251
achievement	0.87715	0.56539	0.70145
acre	0.58256	0.48217	0.63276
action	0.7107	0.69749	0.5786
activate	0.55614	0.47688	0.55218
actor	0.77675	0.63672	0.49141
ad	0.49538	0.40159	0.49538
adapt	0.59049	0.43197	0.55218
addict	0.16248	0.58256	0.32629
addicted	0.16645	0.47028	0.29194
adhere	0.49934	0.37252	0.40687
adjust	0.5284	0.5469	0.47688
admire	0.8428	0.6539	0.66314
admired	0.85733	0.64201	0.82959
admit	0.48613	0.49141	0.42272
adopt	0.69617	0.45707	0.61162
adorable	0.86658	0.51123	0.59313
adore	0.78864	0.59313	0.52048
adorn	0.64201	0.43725	0.52444
adult	0.69221	0.46367	0.59445
advantage	0.75297	0.46367	0.67503
adventure	0.83884	0.75694	0.68824
advice	0.64993	0.51783	0.55746
affair	0.24703	0.65522	0.32497
affection	0.9432	0.65522	0.63804
affectionate	0.786	0.58388	0.57067
affirm	0.64993	0.46764	0.63672
afford	0.66314	0.53633	0.59577
afraid	0.09908	0.71598	0.36063
aggravated	0.18626	0.59974	0.40026
aggravation	0.11229	0.64069	0.34082
aggressive	0.50859	0.60502	0.57332
agility	0.68824	0.47556	0.6103
agony	0.15588	0.6354	0.36592
agree	0.75958	0.44122	0.66446
agreement	0.77015	0.49802	0.65654
aid	0.75033	0.54954	0.56803
ail	0.32365	0.44122	0.39102
air	0.67239	0.37913	0.50859
airplane	0.68428	0.72919	0.32761
airport	0.61427	0.62351	0.41744
alarm	0.21268	0.80713	0.33025
album	0.65522	0.51915	0.50066
alcohol	0.62351	0.61955	0.56143
alcoholic	0.21004	0.58653	0.42272
alcove	0.53765	0.38838	0.48613
alert	0.6539	0.73976	0.62219
alien	0.57464	0.55482	0.44782
alimony	0.35667	0.40291	0.4465
alive	0.7926	0.56143	0.679
allege	0.41215	0.3461	0.46499
allergy	0.24042	0.44782	0.25892
alley	0.42668	0.48349	0.36328
alone	0.15324	0.47292	0.32365
aloof	0.48217	0.40026	0.45443
alter	0.59577	0.48613	0.62219
amaze	0.83487	0.74637	0.57067
ambition	0.76486	0.57596	0.75033
ambitious	0.84148	0.70277	0.75033
ambulance	0.16116	0.80317	0.26024
ambush	0.36724	0.65786	0.36328
amuse	0.83487	0.62351	0.61823
amusement	0.88639	0.65654	0.59313
anarchy	0.30779	0.55878	0.31704
ancestor	0.59181	0.39894	0.47292
angel	0.82959	0.47292	0.49141
anger	0.14399	0.8428	0.56143
angry	0.21136	0.78203	0.56803
anguished	0.11493	0.53897	0.29062
animal	0.69089	0.56803	0.62748
ankle	0.53104	0.38441	0.46499
annoy	0.22589	0.56407	0.4214
annoy	0.19683	0.69221	0.50727
annoyance	0.22721	0.51915	0.39102
answer	0.7107	0.54954	0.60766
antique	0.5469	0.3712	0.52048
anus	0.43197	0.40026	0.55878
anxiety	0.20079	0.72259	0.19419
anxious	0.47028	0.74901	0.53897
apartment	0.73316	0.46235	0.71598
apathy	0.40291	0.36328	0.40687
apology	0.49538	0.51915	0.53633
appall	0.31176	0.69353	0.44386
applause	0.82563	0.60106	0.69089
apple	0.68164	0.38573	0.60898
appliance	0.50859	0.36988	0.50198
application	0.45443	0.57728	0.35007
appreciative	0.81638	0.59181	0.61427
apprehension	0.23514	0.5852	0.24571
arch	0.54425	0.41215	0.50462
area	0.55482	0.33686	0.52576
arena	0.68032	0.68428	0.50859
argue	0.20872	0.63672	0.45575
arm	0.54029	0.30911	0.50462
army	0.45839	0.49934	0.49934
aroma	0.78203	0.52048	0.56143
arouse	0.82299	0.75561	0.64069
aroused	0.88771	0.7107	0.64597
arrogant	0.32232	0.58124	0.51387
arrow	0.51783	0.54425	0.4782
arson	0.17834	0.7041	0.29194
art	0.71731	0.47688	0.53501
artist	0.70542	0.48745	0.61559
ash	0.36856	0.41744	0.48085
asphalt	0.51123	0.33289	0.52048
aspire	0.78732	0.60502	0.75958
ass	0.63937	0.62748	0.5033
assassin	0.24306	0.66446	0.40687
assault	0.10304	0.82695	0.35535
assume	0.45443	0.49141	0.39498
assure	0.76486	0.43197	0.65654
astonished	0.70145	0.7041	0.51651
astronaut	0.71466	0.53236	0.5218
athlete	0.79128	0.69353	0.71598
athletics	0.70806	0.64069	0.64333
atlas	0.56539	0.43329	0.54425
atom	0.45971	0.36328	0.40687
attack	0.19155	0.76354	0.27081
attain	0.71995	0.56539	0.63144
attend	0.66711	0.46103	0.54161
aunt	0.679	0.49009	0.5469
auto	0.66579	0.48085	0.52048
autumn	0.66711	0.43065	0.51519
avalanche	0.26948	0.56671	0.31176
avenge	0.44386	0.61295	0.67107
avenue	0.56143	0.37913	0.54822
avert	0.51783	0.45971	0.45178
avoid	0.31308	0.50066	0.39762
await	0.44782	0.43461	0.33025
awaken	0.54029	0.49538	0.50727
award	0.9498	0.78864	0.79392
awe	0.69089	0.56143	0.42008
awed	0.71995	0.59313	0.53501
awful	0.18626	0.59049	0.35931
awkward	0.2576	0.58785	0.23514
awning	0.50859	0.35931	0.51783
baby	0.92074	0.56539	0.49538
backyard	0.7424	0.4782	0.59709
bacon	0.71995	0.5786	0.60238
bad	0.17305	0.56407	0.34214
badge	0.54425	0.44254	0.48217
baffle	0.36856	0.55878	0.31968
bake	0.64993	0.50859	0.56011
balcony	0.59709	0.44254	0.4465
bald	0.33421	0.39762	0.4214
ballet	0.57596	0.36328	0.60634
balloons	0.75561	0.48217	0.56539
ban	0.29458	0.57728	0.35007
banana	0.70806	0.48613	0.57596
band	0.70013	0.58256	0.54029
bandage	0.43461	0.35007	0.43197
banish	0.15984	0.5852	0.25892
bankrupt	0.09908	0.65522	0.26684
banner	0.54822	0.34082	0.46896
bar	0.68296	0.49538	0.55746
bargain	0.79657	0.61955	0.68956
bark	0.4531	0.63672	0.47556
barn	0.55878	0.39894	0.59181
barrel	0.50198	0.27873	0.48085
basement	0.45178	0.45971	0.44254
basin	0.48613	0.34082	0.42536
basis	0.47028	0.34082	0.54425
basket	0.55482	0.3144	0.59577
basketball	0.64597	0.61955	0.52048
bastard	0.27873	0.63672	0.38573
batch	0.65125	0.4465	0.58388
bath	0.80317	0.38441	0.68164
bathe	0.80845	0.4465	0.61823
bathroom	0.56803	0.34742	0.58124
bathtub	0.71863	0.41083	0.59577
baton	0.51651	0.41347	0.52444
battleship	0.48613	0.60766	0.34875
bawl	0.28534	0.49538	0.35931
beach	0.89564	0.56539	0.5535
beads	0.56671	0.37781	0.44386
bean	0.54161	0.35931	0.60106
bear	0.46631	0.69617	0.33421
beard	0.6037	0.40291	0.61295
beast	0.39366	0.57067	0.48085
beautiful	0.83884	0.64993	0.66579
beauty	0.8679	0.48877	0.56539
bed	0.82695	0.31176	0.74373
bedspread	0.57464	0.39102	0.61427
beer	0.62219	0.54293	0.51915
bees	0.2576	0.69485	0.38441
beet	0.40687	0.36724	0.49934
beg	0.19815	0.49538	0.27081
beggar	0.26024	0.48349	0.37517
beginning	0.6539	0.4782	0.64069
behave	0.56143	0.35403	0.43725
belief	0.70806	0.58785	0.60766
bell	0.54557	0.42272	0.50859
belly	0.49009	0.40687	0.49009
belong	0.68824	0.57992	0.59445
bench	0.44386	0.30911	0.4531
benefit	0.70542	0.51387	0.63144
berate	0.30119	0.55746	0.34082
bereavement	0.43857	0.3897	0.40687
betray	0.0568	0.79128	0.48481
beverage	0.73712	0.52312	0.5786
beware	0.29987	0.67768	0.32232
